,index,Route,SENS,PR_FIN,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,X,Y,Estimated pr,Estimation delta
62,8096,A0001,1,22,2.5442598,49.04323688,2.54431044,49.04331978,2.5442851199999996,49.04327833,23,7.693863404633028
63,8196,A0001,1,23,2.54810724,49.05181194,2.54812746,49.05190136,2.54811735,49.051856650000005,24,14.631523549569302
64,8296,A0001,1,24,2.55147894,49.06050457,2.55151581,49.06059122,2.5514973750000003,49.060547895,25,7.277914812899582
65,8397,A0001,1,25,2.55257287,49.06948528,2.55256491,49.06957553,2.55256889,49.069530405,26,9.994169286529214
66,8497,A0001,1,26,2.55181299,49.07845496,2.5518058,49.07854415,2.5518093950000003,49.078499555,27,4.220652349807074
67,8597,A0001,1,27,2.55104933,49.08742558,2.5510411,49.08751485,2.5510452150000003,49.087470214999996,28,9.6697263836145
68,8697,A0001,1,28,2.55029195,49.09640518,2.55028635,49.09649513,2.5502891500000002,49.096450155,29,9.170509852066104
69,8798,A0001,1,29,2.55132737,49.10546026,2.55134215,49.10555012,2.55133476,49.10550519,30,1.9176824862326742
70,8996,A0001,1,31,2.5569902,49.12282749,2.5570014,49.12291757,2.5569958,49.122872529999995,32,9.313115906695636
71,9095,A0001,1,32,2.56030066,49.13138447,2.56036582,49.13146416,2.56033324,49.131424315000004,33,13.442914640430413
72,9195,A0001,1,33,2.56856747,49.13853614,2.56865509,49.13860535,2.56861128,49.138570744999996,34,15.281737491727013
73,9295,A0001,1,34,2.57732276,49.14545708,2.57741101,49.14552692,2.577366885,49.145492000000004,35,15.30959798830338
74,9395,A0001,1,35,2.58607155,49.15237794,2.5861584,49.15244647,2.586114975,49.152412205000005,36,12.29675388441278
75,9495,A0001,1,36,2.59481352,49.15929278,2.59489904,49.1593626,2.59485628,49.15932769,37,14.685564424203218
76,9595,A0001,1,37,2.59952228,49.16755506,2.59952588,49.16764472,2.59952408,49.16759989,38,28.46368972145052
77,9696,A0001,1,38,2.60255698,49.17627762,2.6026227,49.17635607,2.6025898400000003,49.176316845,39,9.007088893549245
78,9796,A0001,1,39,2.60540028,49.18491756,2.60538372,49.18500698,2.605392,49.18496227,40,11.967895882900766
79,9897,A0001,1,40,2.60358497,49.19385226,2.60360517,49.19394099,2.60359507,49.193896625,41,5.408523790349846
80,9995,A0001,1,41,2.6084575,49.20202499,2.60851536,49.20210665,2.60848643,49.20206582,42,15.114111517494782
81,10095,A0001,1,42,2.61555408,49.20966833,2.61564161,49.20973681,2.615597845,49.209702570000005,43,12.778306857857489
82,10298,A0001,1,44,2.6374392,49.22062688,2.63755192,49.22067763,2.63749556,49.220652255,45,1.2530879754918056
83,10397,A0001,1,45,2.64853236,49.22575513,2.64863567,49.22581421,2.648584015,49.22578467,46,1.6348174397360802
